,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),
245,Tethys,journal,0.170 ,5,1,6,51,8,6,1.67,51.00,
246,Thalassas,journal,0.170 ,10,47,41,2212,18,41,0.55,47.06,
247,Linguistica Espanola Actual,book series,0.169 ,3,6,39,271,8,37,0.28,45.17,
248,Apunts Medicina de l'Esport,journal,0.167 ,9,28,68,884,26,63,0.27,31.57,
249,Anuario Iberoamericano de Justicia Constitucional,journal,0.166 ,2,11,61,318,8,51,0.19,28.91,
250,Scripta Theologica,journal,0.166 ,3,24,77,856,24,77,0.42,35.67,
251,Historia y Politica,journal,0.165 ,5,26,80,1232,30,78,0.38,47.38,
252,Archivos Espanoles de Urologia,journal,0.164 ,22,125,327,2597,79,264,0.30,20.78,
253,Enfermeria intensiva / Sociedad Espanola de Enfermeria Intensiva y Unidades Coronarias,journal,0.164 ,14,42,78,882,46,54,0.68,21.00,
254,Cuadernos de Turismo,journal,0.162 ,5,51,125,1437,54,125,0.31,28.18,
255,Ecosistemas,journal,0.162 ,3,48,111,3068,34,99,0.36,63.92,
256,Hispania Sacra,journal,0.162 ,4,48,117,2241,14,116,0.08,46.69,
257,Revista Internacional de Andrologia,journal,0.162 ,7,48,81,1174,17,77,0.25,24.46,
258,Anales de Documentacion,journal,0.161 ,4,12,29,475,7,29,0.10,39.58,
259,Enfermeria Clinica,journal,0.160 ,14,129,224,2666,74,158,0.54,20.67,
260,Oralia,book series,0.160 ,4,14,42,473,5,40,0.18,33.79,
261,Anales de la Real Academia Nacional de Farmacia,journal,0.159 ,8,22,136,1309,16,118,0.13,59.50,
262,Economia Agraria y Recursos Naturales,journal,0.159 ,7,13,42,719,17,40,0.35,55.31,
